EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/1
AP-117/ 2022-2023
AU College of Pharmaceutical Sciences Andhra University Vishakhapatnam.
PCI - 151",,,,,,,,,,,,,,"B.Pharm, Pharm.D, Pharm.D (PB) and M.Pharm The Registrar,
Andhra University, Waltair Junction, Visakhapatnam, Andhra Pradesh 530003
Hospital
King George Hospital, Visakhapatnam",,,"B.Pharm
B.Pharm course is already approved upto 2022-2023 academic session for 40 admissions.
Pharm.D
Pharm.D course is already approved upto 2022-2023 academic session for 30 admissions.
Pharm.D(PB)
Pharm.D (PB) course is already approved upto 2022-2023 academic session for 10 admissions.
M.Pharm
M.Pharm Pharmacy Practice -10 M.Pharm Regulatory Affairs- 03
M.Pharm Pharmaceutical Biotechnology-03
M.Pharm Pharmacognosy- 03
M.Pharm Pharmaceutical Technology- 06
M.Pharm Pharmacology -06
M.Pharm Pharmaceutical Chemistry -10
M.Pharm Pharmaceutical Analysis -06"
"374EC/2
AP-118/ 2022-2023
Gitam Institute of Pharmacy Formerly College Of Pharmacy Gitam Gitam University Gandhinagar Campus Rushikonda Visakhapatnam /
PCI – 687",,,,,,,,,,,,,,"B.Pharm, M.Pharm The Registrar GITAM University Rushikonda Gandhinagar Campus
Rushikonda Visakhapatnam",,,"B.Pharm
B.Pharm course is already approved upto 2023-2024 academic session for 100 admissions.
M.Pharm
M.Pharm Pharmaceutics- 15
M.Pharm Pharmaceutical Chemistry- 15
M.Pharm Pharmaceutical Analysis- 15
M.Pharm Pharmaceutical Quality Assurance-09
M.Pharm Pharmacology -12"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/3
AP-119/ 2022-2023
Institute of Pharmaceutical Technology Sri Padmavati Mahila Visvavidyalayam Tirupati /
PCI – 919",,,,,,,,,,,,,,"B.Pharm, M.Pharm
The Registrar Sri Padmavathi Mahila Visvavidyalayam Tirupati",,,"B.Pharm
B.Pharm course is already approved upto 2023-2024 academic session for 40 admissions.
M.Pharm
M.Pharm Pharmaceutical Analysis- 15 M.Pharm Pharmacology- 15
M.Pharm Pharmaceutics -15
M.Pharm Pharmaceutical Chemistry- 15
M.Pharm Pharmacognosy- 06"
"374EC/4
AP-120/ 2022-2023
Raghavendra Institute of Pharmaceutical Education And Researchsaigram Krishnamreddypalli Cross Chiyyedu Po Anantapur /
PCI - 1684",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Technical Education and Training Andhra Pradesh
B.Pharm, Pharm.D, Pharm.D(PB)  M.Pharm The Controller of Examinations, Raghavendra Institute of Pharmaceutical Education and Research, K R Palli Cross, Chiyyedu Post, Anantapuramu
District 515721.
(As Autonomous Status) w.e.f. 2016-2017 a.s.
Hospital
RDT Hospital, Anantpur",,,"D.Pharm
D.Pharm course is already approved upto 2024-2025 academic session for 60 admissions.
B.Pharm
B.Pharm course is already approved upto 2024-2025 academic session for 100 admissions.
Pharm.D
Pharm.D course is already approved upto 2024-2025 academic session for 30 admissions.
Pharm.D(PB)
Pharm.D (PB) course is already approved upto 2024-2025 academic session for 10 admissions.
M.Pharm
M.Pharm Pharmaceutical Quality Assurance- 15
M.Pharm Pharmaceutical Analysis- 15 M.Pharm Pharmacy Practice -15 M.Pharm Pharmacology -15
M.Pharm Pharmaceutics -15 M.Pharm Industrial Pharmacy -15
M.Pharm Pharmaceutical Chemistry- 15"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/5
AP-121/ 2022-2023
Govt Polytechnic For Women Cuddapah Gram / PCI – 741",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor,
Tank Bund Road, Hyderabad - 500 063.",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 60 admissions."
"374EC/6
AP-122/ 2022-2023
Govt Polytechnic For Womenguntur Gram Vanita /
PCI – 744",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor,
Tank Bund Road, Hyderabad - 500 063.",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 60 admissions."
"374EC/7
AP-123/ 2022-2023
Govt Polytechnic For Women Hindupur /
PCI - 745",,,,,,,,,,,,,,"D.Pharm
The Secretary
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor,
Tank Bund Road, Hyderabad - 500 063.",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 50 admissions."
"374EC/8
AP-124/ 2022-2023
Govt Polytechnic For Women Kakinada East Godavari Distt Gram Womens Poly / PCI – 746",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 40 admissions."
"374EC/9
AP-125/ 2022-2023
Govt Polytechnic For Women Srikakulam / PCI – 748",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 40 admissions."
"374EC/10
AP-126/ 2022-2023
Govt Polytechnic Visakhapatnam Gram Poly /
PCI – 766",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session for 60 admissions."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/11
AP-127/ 2022-2023
Sri Padmavathi Womens Polytechnic T T Devasthanamstirupati Distt Chittoor Gram Devasthan /
PCI – 2306",,,,,,,,,,,,,,"The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063",,,"D.Pharm
D.Pharm course is already approved upto 2023-2024 academic session for 30 admissions"
"374EC/12
AP-128/ 2022-2023
St Anns College Of Pharmacy Nayunipalli Village Challareddipalem Vetapalem Madal Chirala Prakasam /
PCI – 2371",,,,,,,,,,,,,,"B.Pharm
and M.Pharm
The Registrar Jawaharlal Nehru Technological University Kakinada Hyderabad",,,"B.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for B.Pharm course
Regarding institiuon’s request for raise in admission in B.Pharm –
It was noted that institution has failed to appoint faculty, failed to maintain faculty cadre ratio and disburse salary as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014.
In view of above, it was decided to reject the application for raise in admission in B.Pharm course.
M.Pharm
M.Pharm Pharmaceutics -15
M.Pharm Pharmaceutical Analysis- 12 (reduce from 15 to 12 - as teaching staff is not qualified as per M.Pharm Regulations)"
`,,,,,,,,,,,,,,The registrar Sangam University Bhilwara Rajasthan,,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Grant approval for 2022-2023 academic session for the conduct of 4th year for 60 admission for B.Pharm course
Allow 60 admissions in 2022-2023 academic session in 1st year."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/14
RJ-134/ 2022-2023
School of Pharmacy Manikyalal Verma Shramjivi College Udaipur / PCI – 4371",,,,,,,,,,,,,,"D.Pharm
The Registrar Janardan Rai Nagar Rajasthan Vidyapeeth University
Pratap Nagar Udaipur",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session.
Reduce intake from 60 to 40 from 2022-2023 academic session for D.Pharm course as the institution has failed to appoint qualified faculty as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy"
"374EC/15
TS-123/ 2022-2023
Anurag Group of Institutions Venkatapur V Ghatkesar M Ranga Reddy
Formerly Known as Lalitha College of Pharmacy /
PCI – 114",,,,,,,,,,,,,,"B.Pharm & M.Pharm
The Director Principal Anurag Group of Institutions Venkatapur Ghatkesar Ranga Reddy Telangana
Name of Hospital
Director Medical Services Yashoda Hospital, Behind hari Kala Bhawan, S.P. Road, Secundrabad. / Secunderabad, Secunderabad, Hyderabad, Telangana - 500003",,,"B.Pharm
B.Pharm course is already approved upto 2022-2023 academic session for 100 admissions.
Pharm.D
Pharm.D course is already approved upto 2022-2023 academic session for 30 admissions
Pharm.D(PB)
Pharm.D (PB) course is already approved upto 2022-2023 academic session for 10 admissions
M.Pharm
M.Pharm Industrial Pharmacy-03 M.Pharm Pharmacology-15 M.Pharm Pharmaceutics-15
M.Pharm Pharmaceutical Analysis-09
(Raise granted from 06 to 09)"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/16
TS-124/ 2022-2023
Siddhartha Institute Of Pharmacy Korremula Road V Narapally Rangareddy D Hyderabad / PCI – 2196",,,,,,,,,,,,,,"B.Pharm, Pharm.D, M.Pharm
The RegistrarJawaharlal Nehru Technological University Kukatpally Hyderabad
Hospital
ANKURA HOSPITAL. Plot
No. 1-18, Ragavendra Nagar, Beside ICICI bank, Opposite to Big Bazar, Main Road, Peerzadiguda, Uppal, Hyderabad, Telangana 500039,",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Extension of approval upto 2022-2023 academic session for 100 admissions for B.Pharm course
(Raise in admissions from 60 to 100 from 2018-2019 academic session is already approved)
Pharm.D
Granted approval for 2022-2023 academic session for conduct of 2nd year for 30 admissions for Pharm.D course.
Allow 30 admissions in 2022-2023 academic session in 1st year.
M.Pharm
M.Pharm Pharmaceutics-15
M.Pharm Pharmaceutical Analysis -15 M.Pharm Pharmacology -15"
"374EC/17
TS-125/ 2022-2023
Sri Balaji College of Pharmacy, H.No. 15-260, Choppadandi (Village & Mandal) Karimnagar (Distt.).
PCI-2277",,,,,,,,,,,,,,"The Registrar Satavahana University Jyothi Nagar, Karimnagar-505001.",,,"D.Pharm
It was noted that institution has failed to submit consent of affiliation of Examining Authority for D.Pharm course.
In view of above it was decided to reject the application for D.Pharm course.
B.Pharm
Extend approval up to 2022-2023 academic session for B.Pharm course.
Reduce intake from 100 (Which was granted in 2018-2019 ) to 60 from 2022-2023 academic session for B.Pharm course as teaching staff is less than prescribed as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/18
TS-126/ 2022-2023
Vaagdevi College of Pharmacy Ramnagar Hanmakonda Warangal / PCI - 2552",,,,,,,,,,,,,,"D.Pharm
The Secretary,
State Board of Tech. Education and Training,
B.R.K.R. Building, 7th Floor, Tank Bund Road,saifabad Hyderabad – 500 063
B.Pharm M. Pharm & Pharm.D
The Registrar Kakatiya University,
NH-563, Vidyaranyapuri, Hanamkonda,
Warangal, Telangana 506009
Hospital
M.G.M. Hospital,Warrangal.",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Extension of approval upto 2022-2023 academic session for 100 admissions for B.Pharm course
Pharm.D
Extension of approval upto 2022-2023 academic session for 30 admissions for Pharm.D course
Pharm.D(PB)
Extension of approval upto 2022-2023 academic session for 10 admissions for Pharm.D (PB) course
M.Pharm
M.Pharm Pharmaceutical Chemistry-15
M.Pharm Pharmacology- 15
M.Pharm Pharmaceutics- 15
M.Pharm Pharmaceutical Analysis-15"
"374EC/19
TS-127/ 2022-2023
Pathfinder Institute of Pharmacy Education And Research Opp Warangal Airport Beside Mamnoor Camp Khammam Road Warangal Andhra Pradesh
PCI - 1554",,,,,,,,,,,,,,"B.Pharm & M.Pharm and Pharm D
The Registrar Kakatiya University Vidyaranyapuri
Hospital Name Ajarahospital ,ajara cross muluguroad vidhyanagar warangal Telangana",,,"B.Pharm
B.Pharm course is already approved upto 2022-2023 academic session for 100 admission.
(Raise in admissions from 60 to 100 from 2019-2020 academic session is already approved)
Pharm.D
Granted approval for 2022-2023 academic session for conduct of 2nd year  for Pharm.D course.
Allow 10 admissions in 2022-2023 academic session in 1st year.
Reduce intake from 30 to 10 from 2022-2023 academic session for Pharm .D course as the institution has failed to appoint qualified teaching staff as per-
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   Pharm.D Regulations, 2008"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"M.Pharm
M.Pharm –Regulatory affairs -12 (Reduce from 15 to 12 - as teaching staff is not qualified as per M.Pharm Regulations)
M.Pharm Pharmaceutics- 15
M.Pharm Pharmaceutical Analysis-15
Regarding change in name of hospital, it was noted that institution has failed to submit MOU with new hospital in PCI prescribed format.
Hence it was decided reject the application for change of Hospital."
374EC/20,,,,,,,,,,,,,,The Chairman Controller of,,,D.Pharm
,,,,,,,,,,,,,,Examinations Diploma in,,,It was noted that institution has failed
BR-83/ 2022-2023,,,,,,,,,,,,,,Pharmacy Deptt of Health,,,to submit consent of affiliation of
Academy Of Pharmacy Medical And Management Studies,,,,,,,,,,,,,,Medical Education and F W Patna Bihar,,,"Examining Authority for D.Pharm
course."
"1, Koilwar, Koilwar, Bhojpur,
Bihar - 802160, BHOJPUR, 802160",,,,,,,,,,,,,,,,,"In view of above, it was decided to reject the application for D.Pharm course"
PCI-4560,,,,,,,,,,,,,,,,,B.Pharm
,,,,,,,,,,,,,,,,,It was noted that institution has failed
,,,,,,,,,,,,,,,,,to submit consent of affilation of
,,,,,,,,,,,,,,,,,Examining Authority and NOC of
,,,,,,,,,,,,,,,,,State Government for  B.Pharm
,,,,,,,,,,,,,,,,,course.
,,,,,,,,,,,,,,,,,In view of above it was decided to
,,,,,,,,,,,,,,,,,reject the application for  B.Pharm
,,,,,,,,,,,,,,,,,course
"374EC/21
BR-84/ 2022-2023
Shyam Sai InstituteOf Education, MAIRWA TO DARAULI MAIN ROAD, KAROM MARKET, NEAR PNB BANK KAROM,PO- KAROM, distt- SIWAN- 841239
PCI-4574",,,,,,,,,,,,,,"B.Pharm
The Registrar, Aryabhatta Knowledge University,
Chanakya National Law University Campus,
Near Bus Stand, Mithapur, Patna – 800 001.",,,"B.Pharm
Grant approval for 2022-2023 academic session for conduct of 3rd year for B.Pharm course.
Allowed 40 admissions in 2021-2022 in 1st year (B.Pharm).
Reduce intake from 60 to 40 from 2022-2023 academic session for B.Pharm course as institution has failed to appoint qualified teaching staff as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"(B.Pharm) Course Regulations, 2014.
Regarding institiuon’s request for raise in admission in B.Pharm –
It was noted that institution has failed to
A)submit consent of affiliation of examining authority for raise in admission for B.Pharm course.
B)appoint faculty, failed to maintain faculty cadre ratio and disburse salary as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014.
In view of above, it was decided to reject the application for raise in admission in B.Pharm course."
"374EC/22
BR-85/ 2022-2023
Patna College of Pharmacy, House No.- 931 932, GAJACHAK MOHAMMADPUR,
Gram Panchyat- KORIYAWA,
P.O. SORAMPUR Distt- PATNA-801505
PCI-4704",,,,,,,,,,,,,,The Registrar Patliputra University Old Bypass Road Kankarbagh Patna,,,"B.Pharm
Granted approval for 2022-2023 academic session for conduct of 3rd year for 60 admissions for B.Pharm course.
Allow 60 admissions in 2022-2023 academic session in 1st year."
"374EC/23
BR-86/ 2022-2023
L. T. College of Pharmacy, 1, Ara Bakhorapur Temple, Pharhada, Bhrahara, Bakhorapur Temple, Bhojpur- 802316
PCI-4708",,,,,,,,,,,,,,,,,"D.Pharm
It was noted that Institution has failed to -
a) submit consent of affiliation of examining authority.
b) provide infrastructural facilities including Teaching staff as per statutory provision of
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"In view of above it was decided to reject the application for D.Pharm course.
B.Pharm
It was noted that Institution has failed to provide infrastructural facilities including Teaching staff as per statutory provision of
?     Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014.
Further institution  has also failed to submit NOC of State Government for B.Pharm course.
In view of above it was decided to reject the application for B.Pharm course."
"374EC/24
BR-87/ 2022-2023
Guro Binda College Of Pharmaceutical Sciences, G B C P S, Chattar Road, Ashok Nagar, PO-Hasapur, Distt- Nawada-805111
PCI-4710",,,,,,,,,,,,,,,,,"D.Pharm
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new D.Pharm course.
In view of above, it was decided to reject the application for new D.Pharm course
B.Pharm
It was noted that institution has failed to submit consent of affilation of Examining Authority and NOC of State Government for new B.Pharm course.
In view of above it was decided to reject the application for new B.Pharm course"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/25
BR-88/ 2022-2023
Yamuna College Of Pharmacy, 26, MOHAMMADPUR, KUDDI, CHAND KAIMUR, MOHAMMADPUR,
Distt-KAIMUR (BHABUA)- 823001
PCI-4715",,,,,,,,,,,,,,,,,"D.Pharm
It was noted that Institution has failed to -
a) submit consent of affiliation of examining authority.
b) failed to appoint qualified  Teaching staff as per statutory provision of
?     Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?     Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy.
In view of above it was decided to reject the application for D.Pharm course."
374EC/26,,,,,,,,,,,,,,,,,D.Pharm
,,,,,,,,,,,,,,,,,It was noted that institution has failed
BR-89/ 2022-2023,,,,,,,,,,,,,,,,,to submit consent of affiliation of
SRI BHAGWAT PRASAD SINGH MEMORIAL,,,,,,,,,,,,,,,,,"Examining Authority for D.Pharm
course."
"INSTITUTE OF HIGHER
EDUCATION, PLOT NO- 212, NH- 02, DEO MORE, GT ROAD, PO- TELDIHA,",,,,,,,,,,,,,,,,,"In view of above, it was decided to reject the application for D.Pharm course"
"Distt- AURANGABAD-
824103",,,,,,,,,,,,,,,,,"B.Pharm
It was noted that institution has failed"
PCI-4907,,,,,,,,,,,,,,,,,"to submit consent of affilation of
Examining authority and NOC of"
,,,,,,,,,,,,,,,,,State Government for B.Pharm course.
,,,,,,,,,,,,,,,,,In view of above it was decided to
,,,,,,,,,,,,,,,,,reject the application for B.Pharm
,,,,,,,,,,,,,,,,,course
"374EC/27
BR-90/ 2022-2023
SRI RAM COLLEGE OF PHARMACY,
03, village owa,
owa, indian oil petrol pump, PO-Ner, Distt- JEHANABAD- 804420
PCI-4909",,,,,,,,,,,,,,"The Registrar, Magadh university, Bodh Gaya, Bihar",,,"D.Pharm
It was noted that institution has failed to submit consent of affiliation of Examining Authority for D.Pharm course.
In view of above, it was decided to reject the application for D.Pharm course and instruct the institution not to make admission in 2022-2023 academic session
B.Pharm
It was noted that institution has failed"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"to submit NOC of State Government for B.Pharm course.
In view of above, it was decided to instruct the institution not to make admission 2022-2023 academic session for B.Pharm course."
