EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"b)  appoint qualified teaching staff as per -
?    Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?    Pharm.D Regulations, 2008
In view of above it was decided to reject the application for new Pharm.D(PB) course
M.Pharm
M.Pharm (Pharmaceutics)-09 (Reduce intake from 10 to 09)- as teaching staff is not qualified as per M.Pharm Regulations)
M.Pharm (Pharmaceutical Chemistry- 06 (Reduce intake from 10 to 06) - as  teaching staff is not qualified as per M.Pharm Regulations)
M.Pharm (Pharmacognosy), it was noted that institution has failed to submit consent of affiliation of Examining Authority for new M.Pharm (Pharmacognosy) course.
In view of above, it was decided to reject the application for new (M.Pharm Pharmacognosy)course"
"374 EC/47
KL-56 / 2022-2023
KERALA
Nirmala College Of Health Science Nutmeg Gardens Meloor Kunnappilly Po Chalakkudy Thrissur
(Kerala) PCI – 1461",,,,,,,,,,,,,,"D.Pharm
The Chairman Board of D Pharm
ExaminationsDirectorate of Medical Education College of Pharm Sciences Medical College Thiruvananthapuram (Kerala)
B.Pharm, Pharm.D and M.Pharm
The Registrar
Kerala University of Health Sciences Medical College P O Thrissur (Kerala)",,,"D.Pharm
D.Pharm course is already approved upto 2022-2023 academic session.
Reduce intake from 60 to 40 from 2022-2023 academic session for D.Pharm course as the institution has failed to appoint qualified teaching staff as per -
?     Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?    Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy"
,,,,,,,"6/559 A,",,,,,,,,,,
"Poolani-Puzhpagiri Road,",,,,,,,,,,,,,,,,,
"Meloor, THRISSUR, 680311",,,,,,,,,,,,,,,,,
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,"Hospital Name
Apollo Adlux Hospital",,,"B.Pharm
B.Pharm course is already approved upto 2022-2023 academic session.
Reduce intake from 100 (which was granted in 2020-2021)  to 40 from 2022-2023 academic session for B.Pharm course as the institution has failed to appoint required number of qualified faculty, failed to maintain faculty cadre ratio as per statutory provisions of -
?    Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?    The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014.
Pharm.D
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new
Pharm. D course.
In view of above, it was decided to reject the application for new Pharm. D course
M. Pharm
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new M.Pharm (Pharmacy Practice)course.
In view of above, it was decided to reject the application for new M.Pharm (Pharmacy Practice) course."
"374 EC/48
AR-1 / 2022-2023
ARUNACHAL PRADESH
Arunachal University Of Studies NH-52, Knowledge City, Namsai, Deobil- 792103(Arunachal Pradesh)
PCI – 3785",,,,,,,,,,,,,,"D.Pharm and B.Pharm
The Controller of Examination Arunachal University of Studies Namsai (Arunachal Pradesh)",,,"D.Pharm
Extend approval upto 2022-2023 academic session for 60 admissions for D.Pharm course.
B.Pharm
Grant approval for 2022-2023 academic session for the conduct of 4th year for 60 admissions for B.Pharm course
Allow 60 admissions in 2022-2023 academic session in 1st year."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"Regarding raise in admission in B.Pharm course, institution has failed to submit consent of affiliation of Examining Authority for raise in admission.
In view of above, it was decided to reject the application for raise in admission in B.Pharm course."
"374 EC/49
JK-9 / 2022-2023
JAMMU AND KASHMIR
Hiper Pulwama, NH-44, NH-44 Lethpora, Lethpora, Pulwama, 192121 (Jammu and Kashmir)
PCI-5241",,,,,,,,,,,,,,"D.Pharm
The Secretary
Jammu and Kashmir State Board of Tech Education Govt Polytechnic Complex(Jammu and Kashmir)",,,"D.Pharm
Grant approval for 2022-2023 academic session for conduct of 2nd year for D.Pharm course.
Allow 40 admissions in 2022-2023 academic session in 1st year.
Reduce intake from 60 to 40 from 2022-2023 academic session for D.Pharm course as the institution has failed to appoint faculty as per statutory provisions
-Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
- Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy"
"374 EC/50
HP-35 / 2022-2023
HIMACHAL PRADESH
School of Pharmacy Chitkara University, Atal Shiksha Kunj, Atal Nagar, Barotiwala, Himuda Educational Hub,
Solan- 174103(Himachal Pradesh)
PCI – 4455",,,,,,,,,,,,,,B.Pharm,,,"B.Pharm
Granted approval for 2022-2023 academic session for conduct of 3rd year for B.Pharm course.
Allow 100 admissions in 2022-2023 academic session in 1st year.
(Raise in admission from 60 to 100 from 2021-2022 academic session already approved.
Regarding institution’s request for raise in admission for B.Pharm course, it was noted that B.Pharm course is already approved for 100 intake."
"374 EC/51
HP-34 / 2022-2023
HIMACHAL PRADESH
School Of Pharmaceutical Sciences Bahra University Village Waknaghat  Distt Solan (Himachal Pradesh)",,,,,,,,,,,,,,"B.Pharm, D.Pharm
 And M.Pharm
The Controller of Examination Bahra University Village Waknaghat Distt Solan (Himachal Pradesh)",,,"D.Pharm
Grant approval from 2020-2021 to 2021-2022 academic session for 60 admissions u/s 12 of the Pharmacy Act.
Grant approval for 2022-2023"
The Controller of,,,,,,,,,,,,,,,,,
Examinations,,,,,,,,,,,,,,,,,
Chitkara University,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
PCI - 1944,,,,,,,,,,,,,,,,,"academic session for 40 admissions u/s 12 of the Pharmacy Act.
Reduce intake from 60 to 40 from 2022-2023 academic session for D.Pharm course as the institution has failed to appoint qualified teaching staff as per -
?     Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?     Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy.
B.Pharm-
Extended approval  upto 2022-2023 academic session for B.Pharm course for 60 admission.
Regarding institiuon’s request for raise in admission in B.Pharm it was noted that institution has failed to submit Consent of affiliation of Examining Authority.
In view of above, it was decided toreject the application for raise in admission for B.Pharm course.
M. Pharm
M.Pharm (Pharmaceutics)-09 (Reduce intake from 12 to 09-as teaching staff is not qualified  as per M.Pharm Regulations)
Regarding raise inM.Pharm (Pharmaceutics), it was noted that qualified teaching staff is not available as per M.Pharm Regulations In view of above, it was decided to reject the application for raise in admission in (M.Pharm Pharmaceutics).
Regarding M.Pharm (Pharmaceutical Chemistry) and M.Pharm (Pharmacology), it was noted that qualified teaching staff is not available as per M.Pharm Regulations."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"In view of above, it was decided to reject the application for M.Pharm (Pharmaceutical Chemistry) and M.Pharm (Pharmacology) course."
"374 EC/52
AS-36 / 2022-2023
ASSAM
Ham Ak College Of Pharmacy Dental And Medical Sciences Ham Ak Bhawan, Dhing Road, Shillongoni, Nagaon, 782002 (Assam)
PCI - 2782",,,,,,,,,,,,,,"D.Pharm and B.Pharm
The Controller of Examination Assam Science and Technology Univeristy Jalukbari Tetlia Road Guwahati (Assam)",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
It was further decided to instruct the institution to submit  Consent of affiliation of Examining Authority for D.Pharm course.
B.Pharm
Grant approval for 2022-2023 academic session for the conduct of 4th year for B.Pharm course
Allowed 60 admissions in 2022-2023 academic session in 1st year.
Reduce intake from 100 to 60 from 2022-2023 academic session for B.Pharm course as faculty cadre ratio is not maintained as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014.
It was further decided to instruct the institution to submit  Consent of affiliation of Examining Authority and NOC of the State Government.for B.Pharm course."
"374EC/53
UK-66/ 2022-2023
UTTARAKHAND
School of pharmacy and",,,,,,,,,,,,,,"D.Pharm
The Secretary Uttarakhand Board of Technical Education,",,,"D.Pharm
D.Pharm course is already approved upto 2022–2023 academic session for 60 admissions."
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"research dev bhoomi uttarakhand university, (Formerly known as Dev Bhoomi Institute of Pharmacy Research Dev Bhoomi Campus Chakrata Road Navgaon Manduwala Dehradun)
PCI-506",,,,,,,,,,,,,,"Sunehara Road, Kashipuri Roorkee-247667
B.Pharm & M.Pharmand Pharm. D
The Controller of Examination UttarakhandTechnical University Govt Girls Polytechnic Premnagar Sudhowala Dehradun
Dev Bhoomi Hospital & Kalindi Hospital chakrata roadnavgaon manduwalaDehradun.",,,"B.Pharm
B.Pharm course is already approved upto 2022-2023 academic session for 60 admission.
Pharm.D
Granted approval for 2022-2023 academic session for conduct of 1st year for 30 admissions for Pharm.D course.
Pharm.D(PB)
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new Pharm.D (PB) course.
In view of above, it was decided to reject the application for new Pharm.D(PB) course
M. Pharm-
M.Pharm (Pharmaceutics)-09 M.Pharm (Pharmacology)- 09
Regarding institution’s request for change in name institution
Regarding instituion’s request for change in the name of  institution, it was decided to approve the change in the name of the institution as per following details -
Regarding institution’s request for change in name of examining authority, it was decided to instruct the institution to apply in the service portal of PCI."
From,,,,,,To,,,,,,,,,,,
Dev Bhoomi Institute Of Pharmacy Research Dev Bhoomi Campus Chakrata Road Navgaon Manduwala Dehr adun,,,,,,School of pharmacy and research dev bhoomi uttarakhand university.,,,,,,,,,,,
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/54
HR-124/ 2022-2023
HARYANA
Atam Institute Of Pharmacy NH-52, HISAR- CHANDIGARH ROAD, VPO- JUGLAN, JUGLAN(V) , Hisar(M), HISAR(D) , HARYANA (S) - 125001 (w.e.f. 2022-2023)
(old address upto 2021-2022- Vill Garhi Nh 09 Hansi Disst Hisar)
PCI – 148",,,,,,,,,,,,,,"D.Pharm & B.Pharm course The Registrar Om Sterling Global University Hisar- Chandigarh Raod, Hisar- 125001
W.e.f. 2022-2023
D.Pharm
The Secretary,  Haryana State Board of Technical Education
Bays No. 7-12, Sec – 4, Panchkula.
Upto 2021-2022.
B.Pharm
The Registrar Pt. B. D. Sharma
University of Health Sciences Rohtak – 124 001.
Upto 2021-2022.",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Extend approval upto 2022-2023 academic session for 60 admissions for B.Pharm course.
Pharm.D
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new Pharm.D course.
In view of above, it was decided to reject the application for new Pharm.D course
Pharm.D(PB)
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new Pharm.D(PB) course.
In view of above, it was decided to reject the application for new Pharm.D(PB) course
B.Pharm (Practice)
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new B.Pharm(Practice) course.
In view of above, it was decided to reject the application for new B.Pharm (Practice) course
M.Pharm course
It was noted that institution has failed to submit consent of affiliation of Examining Authority for new M.Pharm Pharmaceutics and M.Pharm Pharmaceutical Chemistry course.
In view of above, it was decided to reject the application for new M.Pharm Pharmaceutics and M.Pharm Pharmaceutical Chemistry) course
Change of address/location Regarding change of address/location of  institution, it was further decided to"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"approve the change of the institution as per following details –
Change of Examining Authority Instituion’s request regarding change of Examining Authority, it was decided to approve the change in the name of Examining Authority of the institution as per following details – For D.Pharm course
For B.Pharm course
Regarding institiuon’s request for change of site, it was decided to approve  transfer  of site and governing body for D.Pharm B.Pharm course  as per following details –
From
Atam institute of pharmacy Vill Garhi Nh 09 Hansi Disst Hisar"
From,,,,,,To,,,,,,,,,,,
"VPO- GARHI, GARHI, HANSI, GARHI(V) ,
Hansi(M),
HISAR(D) , HARYANA (S) - 125033",,,,,,"NH-52, HISAR- CHANDIGA RH ROAD, VPO- JUGLAN, JUGLAN(V)
, Hisar(M),
HISAR(D) , HARYANA (S) - 125001",,,,,,,,,,,
,From,,,,,,,To,,,,,,,,,
,"The Secretary, Haryana State Board of Technical Education Bays No. 7-12,
Sec – 4, Panchkula.",,,,,,,"The Registrar Om Sterling Global University Hisar- Chandigarh Raod, Hisar- 125001",,,,,,,,,
,From,,,,,,,To,,,,,,,,,
,The Registrar Pt B D Sharma University of Health Sciences Rohtak,,,,,,,"The Registrar Om Sterling Global University Hisar- Chandigarh Raod, Hisar- 125001",,,,,,,,,
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
,,,,,,,,,,,,,,,,,"To
Om Welfare Society, Hisar at V.P.O Juglan, Hisar"
"374EC/55
MP-187/2022-2023
MADHYA PRADESH
Shrikrishna Pharmacy College, Mangawan, REWA, 486111
PCI – 3684",,,,,,,,,,,,,,"D.Pharm
The Secretary,
Rajiv Gandhi Proudyogiki Viswavidyalaya, Polytechnic Division, A-4 Office Complex Gautam Nagar, Near Chetak Bridge Bhopal-462023 (Madhya Pradesh)
B.Pharm
The Registrar,
Rajiv Gandhi Proudyogiki Vishwavidyalaya
Airport, Byepass Road, Gandhi Nagar,
Bhopal – 462 036.(Madhya Pradesh)",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Grant approval for 2022-2023 academic session for the conduct of 4thyear for B.Pharm course.
Reduce intake from 100 (which was granted in 2019-2020) to 60 from 2022-2023 academic session for B.Pharm course as the institution has failed to appoint required number of qualified faculty, failed to maintain faculty cadre ratio and salary as per statutory provisions of -
?    Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?    The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014."
"374EC/56
MP-188/ 2022-2023
MADHYA PRADESH
Ravishankar College of Pharmacy, Ayodhya Byepass Road Bhanpura Square  Bhopal- 462 010 (Madhya Pradesh (Formerly known as Shri Ravishankar College of Pharmacy,  Bhopal, Bypass Road, Bhanpur Square, Bhopal- 462 010.)
PCI – 1741",,,,,,,,,,,,,,"B.Pharm & M.Pharm
The Registrar,
Rajiv Gandhi Proudyogiki Vishwavidyalaya
Airport, Byepass Road, Gandhi Nagar,
Bhopal – 462 036.(Madhya Pradesh)",,,"B.Pharm
B.Pharm  course  is  already  approved upto 2022-2023 academic session.
Reduce intake from 100 (which was granted in 2021-2022)  to 60 from 2022-2023 academic session for B.Pharm course as teaching staff is less than prescribed as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014
M. Pharm
M.Pharm (Pharmaceutics)-09 (Reduce intake from 12 to 09 -as teaching staff is not qualified as per M.Pharm Regulations)
M.Pharm (Pharmacology)- 09"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/57
MP-189/ 2022-2023
MADHYA PRADESH
Gyanodaya Institute of Pharmacy, Khasra No 397 398 402 410/2, Vill Suwakheda, Teh. Jawad, Distt. Neemuch- 458468
PCI – 3242",,,,,,,,,,,,,,"D.Pharm
The Secretary,
Rajiv Gandhi Proudyogiki Viswavidyalaya, Polytechnic Division, A-4 Office Complex Gautam Nagar, Near Chetak Bridge Bhopal-462023 (Madhya Pradesh)
B.Pharm
The Registrar,
Rajiv Gandhi Proudyogiki Vishwavidyalaya
Airport, Byepass Road, Gandhi Nagar,
Bhopal – 462 036. (Madhya Pradesh)",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Granted approval for 2022-2023 academic session for conduct of 4th year for 100 admissions for B.Pharm course.
Allow 100 admissions in 2022-2023 academic session in 1st year."
"374EC/58
PB- 109/2022-2023
PUNJAB
Lala Lajpat Rai College of Pharmacy Near P S Sadar Moga Ferozepur G T Road Moga Punjab
PCI – 1184",,,,,,,,,,,,,,"D.Pharm
The Director (Academics) Punjab State Board of Technical Education and Industrial Training,
Plot No. 1A, Sector-36A, Chandigarh.
B.Pharm
The Registrar
Maharaja Ranjit Singh Punjab Technical University, Dabwali Road, Bathinda.",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for B.Pharm course
B.Pharm (Practice)
Granted approval for 2022-2023 academic session for conduct of 2nd year for 40 admissions for B.Pharm (Practice) course.
Allow 40 admissions in 2022-2023 academic session in 1st year."
"374EC/59
PB-110/ 2022-2023
PUNJAB
Lala Lajpatrai Institute Of Pharmacy, Jalandhar Punjab
PCI – 1185",,,,,,,,,,,,,,"D.Pharm
The Director (Academics) Punjab State Board of Technical Education and Industrial Training,
Plot No. 1A, Sector-36A, Chandigarh.",,,"D.Pharm
Extend approval up to 2022-2023 academic session for D.Pharm course.
Reduce intake from 60 to 40 from 2022-2023 academic session for D.Pharm course as the institution has failed to appoint faculty as per statutory provisions
-Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
- Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/60
PB-111/ 2022-2023
PUNJAB
Rayat Institute Of Pharmacy Railmajra Distt Nawanshahr Punjab
PCI - 1743",,,,,,,,,,,,,,"D.Pharm
The Director (Academics) Punjab State Board of Technical Education and Industrial Training,
Plot No. 1A, Sector-36A, Chandigarh.
B.Pharm & M.Pharm
The Registrar
Punjab Technical University REC Campus Amritsar Byepass
G T Road Ladowali Road Jalandhar Punjab",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Extension of approval upto 2022-2023 academic session for B.Pharm course
Reduce intake from 60 to 40 from 2022-2023 academic session for B.Pharm course as teaching staff is less than prescribed as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?    The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014
M.Pharm
M.Pharm (Pharmaceutics)-06 (Reduce intake from 15 to 06 - as teaching staff is not qualified as per M.Pharm Regulations)
M.Pharm (Pharmacology)- 09
M.Pharm (Pharmaceutical chemistry)- 09
(Reduce intake from 15 to 09 - as teaching staff is not qualified as per M.Pharm Regulations)"
374EC/61,,,,,,,,,,,,,,D.Pharm,,,D.Pharm
PB-112/ 2022-2023,,,,,,,,,,,,,,,,,Extend approval up to 2022-2023
,,,,,,,,,,,,,,The Director (Academics),,,academic session for D.Pharm course.
PUNJAB,,,,,,,,,,,,,,Punjab State Board of,,,
"Punjab Pharmacy College,",,,,,,,,,,,,,,Technical Education and,,,Reduce intake from 60 to 40
"Village sarkapra, Post office",,,,,,,,,,,,,,"Industrial Training,",,,from2022-2023 academic session for
Chunni kalan near sarkapra bus,,,,,,,,,,,,,,"Plot No. 1A, Sector-36A,",,,D.Pharm course as the institution has
stand Dist-Fatehgarh Sahib-,,,,,,,,,,,,,,Chandigarh.,,,failed to appoint faculty as per
140406,,,,,,,,,,,,,,,,,statutory provisions
,,,,,,,,,,,,,,,,,-Minimum Qualification for Teachers
PCI – 2935,,,,,,,,,,,,,,,,,"in Pharmacy Institutions Regulations,"
,,,,,,,,,,,,,,,,,2014.
,,,,,,,,,,,,,,,,,"- Education Regulations, 1991 / 2020"
,,,,,,,,,,,,,,,,,for the Diploma course in Pharmacy
374 EC cleaned version (20.9.2022),,,,,,,,,,,,,,,,,
